time,close
2015-01-14 01:00:00,32.82
2015-01-15 01:00:00,32.99
2015-01-16 01:00:00,33.39
2015-01-20 01:00:00,32.84
2015-01-21 01:00:00,32.41
2015-01-22 01:00:00,31.97
2015-01-23 01:00:00,31.6
2015-01-26 01:00:00,31.08
2015-01-27 01:00:00,31.17
2015-01-28 01:00:00,30.34
2015-01-29 01:00:00,29.54
2015-01-30 01:00:00,30.0
2015-02-02 01:00:00,30.41
2015-02-03 01:00:00,30.8
2015-02-04 01:00:00,30.59
2015-02-05 01:00:00,31.71
2015-02-06 01:00:00,31.82
2015-02-09 01:00:00,32.01
2015-02-10 01:00:00,31.45
2015-02-11 01:00:00,31.75
2015-02-12 01:00:00,32.01
2015-02-13 01:00:00,32.4
2015-02-17 01:00:00,32.32
2015-02-18 01:00:00,32.01
2015-02-19 01:00:00,32.04
2015-02-20 01:00:00,31.67
2015-02-23 01:00:00,31.33
2015-02-24 01:00:00,31.61
2015-02-25 01:00:00,31.91
2015-02-26 01:00:00,32.04
2015-02-27 01:00:00,32.95
2015-03-02 01:00:00,32.83
2015-03-03 01:00:00,32.97
2015-03-04 01:00:00,32.21
2015-03-05 01:00:00,31.57
2015-03-06 01:00:00,31.28
2015-03-09 00:00:00,31.0
2015-03-10 00:00:00,30.96
2015-03-11 00:00:00,31.1
2015-03-12 00:00:00,30.87
2015-03-13 00:00:00,30.49
2015-03-16 00:00:00,30.39
2015-03-17 00:00:00,30.04
2015-03-18 00:00:00,30.63
2015-03-19 00:00:00,30.62
2015-03-20 00:00:00,30.68
2015-03-23 00:00:00,31.15
2015-03-24 00:00:00,31.11
2015-03-25 00:00:00,31.04
2015-03-26 00:00:00,31.17
2015-03-27 00:00:00,30.6
2015-03-30 00:00:00,30.49
2015-03-31 00:00:00,30.39
2015-04-01 00:00:00,30.69
2015-04-02 00:00:00,31.04
2015-04-06 00:00:00,31.26
2015-04-07 00:00:00,31.03
2015-04-08 00:00:00,30.95
2015-04-09 00:00:00,30.84
2015-04-10 00:00:00,31.09
2015-04-13 00:00:00,31.04
2015-04-14 00:00:00,31.3
2015-04-15 00:00:00,31.8
2015-04-16 00:00:00,31.76
2015-04-17 00:00:00,31.52
2015-04-20 00:00:00,31.59
2015-04-21 00:00:00,31.82
2015-04-22 00:00:00,31.75
2015-04-23 00:00:00,32.22
2015-04-24 00:00:00,31.86
2015-04-27 00:00:00,31.84
2015-04-28 00:00:00,31.38
2015-04-29 00:00:00,31.64
2015-04-30 00:00:00,31.65
2015-05-01 00:00:00,31.58
2015-05-04 00:00:00,32.63
2015-05-05 00:00:00,33.05
2015-05-06 00:00:00,32.92
2015-05-07 00:00:00,32.49
2015-05-08 00:00:00,32.96
2015-05-11 00:00:00,33.19
2015-05-12 00:00:00,32.97
2015-05-13 00:00:00,33.24
2015-05-14 00:00:00,33.34
2015-05-15 00:00:00,33.07
2015-05-18 00:00:00,32.78
2015-05-19 00:00:00,32.18
2015-05-20 00:00:00,32.2
2015-05-21 00:00:00,32.25
2015-05-22 00:00:00,31.64
2015-05-26 00:00:00,32.14
2015-05-27 00:00:00,31.73
2015-05-28 00:00:00,32.06
2015-05-29 00:00:00,33.33
2015-06-01 00:00:00,34.51
2015-06-02 00:00:00,34.17
2015-06-03 00:00:00,34.73
2015-06-04 00:00:00,34.53
2015-06-05 00:00:00,34.78
2015-06-08 00:00:00,34.1
2015-06-09 00:00:00,33.93
2015-06-10 00:00:00,33.87
2015-06-11 00:00:00,33.29
2015-06-12 00:00:00,33.14
2015-06-15 00:00:00,32.69
2015-06-16 00:00:00,32.9
2015-06-17 00:00:00,32.85
2015-06-18 00:00:00,32.25
2015-06-19 00:00:00,32.96
2015-06-22 00:00:00,33.31
2015-06-23 00:00:00,33.2
2015-06-24 00:00:00,33.7
